Date-Time,C23_Vibration_Bearing_1,C23_Vibration_Bearing_2,C23_Vibration_Bearing_3,C23_Vibration_Bearing_4,,,
2020-04-17T02:20:01,0.05933,0.07384,0.07277,0.04311,,,
2020-04-17T02:50:01,0.06129,0.07230,0.07348,0.04310,,,
2020-04-17T03:20:01,0.05995,0.07192,0.07400,0.04318,,,
2020-04-17T03:50:01,0.06005,0.07448,0.07511,0.04320,,,
2020-04-17T04:20:01,0.05870,0.07238,0.07510,0.04322,,,
2020-04-17T04:50:01,0.06005,0.07283,0.07264,0.04316,,,
2020-04-17T05:20:01,0.06024,0.07296,0.07288,0.04323,,,
2020-04-17T05:50:01,0.05982,0.07440,0.07218,0.04324,,,
2020-04-17T06:20:01,0.06038,0.07431,0.07540,0.04321,,,
2020-04-17T06:50:01,0.06071,0.07401,0.07492,0.04318,,,
2020-04-17T07:20:01,0.05907,0.07508,0.07460,0.04318,,,
2020-04-17T07:50:01,0.06040,0.07425,0.07467,0.04313,,,
2020-04-17T08:20:01,0.05924,0.07414,0.07218,0.04312,,,
2020-04-17T08:50:01,0.05912,0.07278,0.07290,0.04326,,,
2020-04-17T09:20:01,0.06056,0.07509,0.07503,0.04318,,,
2020-04-17T09:50:01,0.05920,0.07408,0.07380,0.04325,,,
2020-04-17T10:20:01,0.05971,0.07351,0.07423,0.04316,,,
2020-04-17T10:50:01,0.05883,0.07299,0.07468,0.04312,,,
2020-04-17T11:20:01,0.06101,0.07193,0.07302,0.04318,,,
2020-04-17T11:50:01,0.05914,0.07267,0.07437,0.04314,,,
2020-04-17T12:20:01,0.06012,0.07455,0.07511,0.04320,,,
2020-04-17T12:50:01,0.05972,0.07409,0.07470,0.04321,,,
2020-04-17T13:20:01,0.05969,0.07308,0.07394,0.04319,,,
2020-04-17T13:50:01,0.05955,0.07455,0.07550,0.04314,,,
2020-04-17T14:20:01,0.05977,0.07453,0.07348,0.04321,,,
2020-04-17T14:50:01,0.06154,0.07424,0.07326,0.04327,,,
2020-04-17T15:20:01,0.05874,0.07388,0.07352,0.04308,,,
2020-04-17T15:50:01,0.06052,0.07273,0.07442,0.04319,,,
2020-04-17T16:20:01,0.06067,0.07541,0.07423,0.04307,,,
2020-04-17T16:50:01,0.06143,0.07276,0.07269,0.04311,,,
2020-04-17T17:20:01,0.06068,0.07270,0.07363,0.04309,,,
